stimnum,type,Tempo,KeyDistance,ModeChange,hit_time1,hit_time2,hit_time3,hit_time4,hit_time5,hit_time6,hit_time7,hit_time8,hit_time9,hit_time10,hit_time11,hit_time12,hit_time13,hit_time14,hit_time15,hit_time16,hit_time17,hit_time18,hit_time19,hit_time20,hit_time21,hit_time22,hit_time23,hit_time24,hit_time25,hit_time26,hit_time27,hit_time28,hit_time29,hit_time30,hit_time31,hit_time32,hit_time33,hit_time34,hit_time35,hit_time36,hit_time37,hit_time38,hit_time39,hit_time40,hit_time41,hit_time42,hit_time43,hit_time44,hit_time45,hit_time46,hit_time47,hit_time48,hit_time49,hit_time50,hit_time51,hit_time52,hit_time53,hit_time54,hit_time55,hit_time56,hit_time57,hit_time58,hit_time59,hit_time60,hit_time61,hit_time62,hit_time63,hit_time64,hit_time65,hit_time66,hit_time67,hit_time68,hit_time69,hit_time70,hit_time71,hit_time72,hit_time73,hit_time74,hit_time75,hit_time76,hit_time77,hit_time78,hit_time79,hit_time80,hit_time81,hit_time82,hit_time83,hit_time84,hit_time85,hit_time86,hit_time87,hit_time88,hit_time89,hit_time90,hit_time91,hit_time92,hit_time93,hit_time94,hit_time95,hit_time96,hit_time97,hit_time98,hit_time99,hit_time100,hit_time101,hit_time102,hit_time103,hit_time104,hit_time105,hit_time106,hit_time107,hit_time108,hit_time109,hit_time110,hit_time111,hit_time112,hit_time113,hit_time114,hit_time115,hit_time116,hit_time117,hit_time118,hit_time119,hit_time120,hit_time121,hit_time122,hit_time123,hit_time124,hit_time125,hit_time126,hit_time127,hit_time128,hit_time129,hit_time130,hit_time131,hit_time132,hit_time133,hit_time134,hit_time135,hit_time136,hit_time137,hit_time138,hit_time139,hit_time140,hit_time141,hit_time142,hit_time143,hit_time144,hit_time145,hit_time146,hit_time147,hit_time148,hit_time149,hit_time150,hit_time151,hit_time152,hit_time153,hit_time154,hit_time155,hit_time156,hit_time157,hit_time158,hit_time159,hit_time160,hit_time161,hit_time162,hit_time163,hit_time164,hit_time165,hit_time166,hit_time167,hit_time168,hit_time169,hit_time170,hit_time171,hit_time172,hit_time173,hit_time174,hit_time175,hit_time176,hit_time177,hit_time178,hit_time179,hit_time180,rtmeanstim
3,1,140,0.86057,0,-0.5395957,0.044573264062441,0,2.76641066033917,0,0,0,4.06027000217776,0,0,0,0,0,0,-1.24400470600657,0,0,0,0,0,0,0,0,-0.923602481607368,0,2.93653358694329,0,0,1.95452791544671,0,0,0,0,0,0,0,-1.25353293947964,-0.424363685158353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.310887852886333,0,0,0,0,1.95640532809694,0,0,0,0,0,0,0,0.666448716218991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89567184401451,0,-0.923324176543261,0,0,0,0,0,0,0.514594480435516,0,0,0,0,0,0,0,0,0,0,0.722447162066443,0,-1.41088684425099,0,0,0,0,-0.793454804225579,0,0,0,0,0,0.474590794897479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8157742,0,0,0,0,0,0,0,0,0,0,-0.339743860786317,0,0,0,0,0,0,0,0,0,2.151307,0,0,0,0,0,0,0.276421647575038,-1.44356128214792,0,1.00943906409097
6,1,86,0.86044,0,1.6838585,0,0,0,2.35462193883035,0,0,3.44434879589145,0,0,2.39924430848287,1.58846765665003,0,0,3.69336568926718,0,2.73046439342445,1.38531539574196,2.52041445062824,0,0,0,2.9140638404897,0,1.11244485930323,0,0,0,0,1.79408322725593,0,0,0,0,0,2.68250274605616,0,0.378415496882205,0,2.39247265309355,2.26239478683863,0,1.55249235768876,0,0,2.88052836812868,2.37248217079956,0,2.28246268301035,0,2.11252400015105,2.49404084517783,0,0,0,0,3.09040581206408,0,3.6884543300112,0,0,2.34083696538455,0,2.98189222740635,0,1.85048292104908,3.70816242280612,1.84604399947499,1.33147232799449,0,0,0,0,2.15154710384565,0,1.84048061528376,0,0,0,2.56240930532,0,0,2.77238231133995,0,0,0,2.5723842631971,3.39243892316469,3.53854555213453,0,1.36601398965459,0,0,2.05255792588783,0,3.71047244111809,0,0,0,2.82055955225783,0,0,0,0,0,0,1.77828050483068,0,3.44060228153708,0,0,2.59256013943506,2.54243707214632,0,0,0,0,0,0,0,0,0,0,0,2.70044303365868,2.21252407813819,2.46240469980814,2.29044511773945,0,0,0,0,0,0,0,0,2.9027198,1.3153388,2.7942277,1.3198003,2.3109448,0,1.2008802,0,2.3917923,0,3.5224587527836,0,0,1.634869,3.0055401,0,3.57398916536024,0,1.2733784,0,0,0,0,0,0,0,0,0,0,1.967434,0,0,3.3497632,0,0,0,0,-0.7924024,0,0,2.78162584123176,0,0,3.45234547659656,2.38583874115838
7,1,90,0.64835,1,1.7729288,-0.654525824754071,3.13555114977463,2.99550416488242,3.47957898886205,0,4.60349061679792,0.573266221534272,0,0,0,6.96995406616737,-0.604422458018753,8.34571981486804,0.260255557861225,0,0,0,0,0,0,0,3.45558510574333,1.81246983542596,0,1.93548096825427,0,0,6.55549552896767,0,6.25348453776065,-0.699504712972463,0,0,7.97358146999527,-0.134592225691353,0.121480424757788,0,0,3.75549366830574,0,5.2835307145413,0,0,0,3.67553084066099,3.63754010708519,0,5.81347713392614,0,0,0,0,0,0,1.10154147388057,0,0,0,3.81549027525519,4.78547413987163,0,5.91724025270771,0,0,0,0,0,0,0.343519468330282,0,-0.0652158259296591,0,0,0,0,0,0,0,0,0,4.7735961156463,0,0,0,0,-0.188034797299281,5.4435083246931,0,0,0,2.83555141576672,0,0,1.135508781229,0,0,4.32797406104655,3.56550571938078,7.52338918828911,0.655529139511831,-0.195459795671585,0,0,0,0,0,2.08454972323228,0,0,0,0,0.985425222762547,5.09735973994597,0.213531321194115,4.56550035745999,0,0.173653084898032,0,-0.0444506686884871,0.575500603103581,0,6.18549472609032,0,0,0,0,0.675472345124629,3.60344721158189,0,0.544719956092589,4.85707222084941,0.405698300000001,0,0,0,6.292539,5.6482165,3.8596563,0,0,0,0,0,8.1151674,0,5.52550700071638,0,1.30553822255495,6.3747222,0,0,0,6.6340786,3.0343842,0,7.4913634,0,0,0,0,0,-0.5769606,0,0,0,0,0,0,5.9792438,0,0,0,0,5.4963806,4.3439887,0,0,0,-0.0446048084213366,3.26716341153411
8,1,132,0.64831,1,0,0,2.06745295129965,0,0,1.69747959559282,0,0,0,0,0,0.0519554473273089,-3.22049400477418,0,0,0,-0.652561578525553,-2.9112784400192,2.33744611123926,0,0,0,1.87105637590979,-3.57350162652924,-0.642522637015833,0,0,0,3.51433349758282,-1.82053616408464,0,0,0,-0.382533405166576,0,-1.14053278769063,0,0,3.12112034412948,0,0,0,0,0,1.12748426319674,2.38950259571897,0,0,0,0,0.80870029773569,0,0,0,0,0,0,0,0,0.759487422907796,0,0,0,0,0,0.995500686325695,0,2.051038755262,0,-0.802459765841824,0,2.10872409166051,0,0,0,0,-1.58453544842878,0,0,0,0,0,0,0,0,0,1.41548214966593,0,0,0,0,-2.41050862306641,0,2.74753285572496,0,0,0,0,0,0,0,0,0,0,0.0636642000000016,0,0,0.330701105531027,-0.342446977172937,0,0,0,0,0,0,0,0,0,0,3.53990910104129,0,-3.35150404462877,0,0,0,0.948480001671815,0,0.296044680423591,0,-2.5305449794653,-3.75255211951497,0,0,0,-1.5525554,-1.4134689,0,0,0,0,0,0,2.4279262,0,0,0.467497606301269,0,0,0,0,0,0,1.79744373921192,3.403672,0,0,0,0,2.4364175,0,0,-2.55054097086467,0,1.9282087,0,3.2096374,0,0,2.333865,0,0,0,2.98940406401647,-0.2834203,0,0,0,3.06309002664664,0,1.90303784791322,1.18045679635366
10,1,134,0.8608,0,4.1449654,0,0,-0.704103189361366,2.94044706869902,0,0,0,0,4.5557187,0,2.43756627814177,0,0,0,0,0,0,-0.93533293453433,2.70647411787394,0,0,-1.19353954834159,0,0.678695699612256,0,0,0,0,0,0,0,0,0,0,2.40248332641625,0,0,0,3.62645372033783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82799793515689,0,0,0,0,3.88640111631399,0,0,0,0.98649945556094,-0.485525412021687,0,0,0,0,0,0,0,3.92668208412067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804730711733615,0,0,0,3.71655712985755,0,3.5746022074038,0,0,0,0,0,0,0,0,0,2.97445309560088,0,0,2.95645192787128,0,0,0,0,0,0,4.72661834491993,0,0,-1.04361627348512,0,0,2.19240520784374,3.87151305240894,0,0,0,0,0,1.5740568,0,0,0,3.1842782,0,0,4.6172088,0,0,0,4.6075542,0,0,0,4.75811331958243,0,4.2897328,0,0,0,0,0,0,0,3.4733992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396459601077598,0,0,0,2.42438761554334,0,0,0,2.65479138576696
12,1,132,0.64843,1,0,0,0,-1.73447649187848,0,-1.39455050323587,0,-1.3067749651889,0,0,-2.02480985845266,0,0,-0.635723316888892,2.39042232852736,1.12635545300663,-0.636521938671882,0,0,0,-1.63652513007925,0,-1.28638045453279,-1.81748538506746,-0.654559510890289,1.77548976736615,-1.3345629881162,-1.51651276714547,-1.28971794770267,0.315422905680078,0,0,-1.37644642687594,-1.36631925124252,0,0,-0.79647718452048,0,0,0,0,0,0,0,-1.49453216670999,-1.2294595683774,-0.984549286025398,0,-0.734526252228168,0,0,0,2.0055710062187,-1.51638781026558,0,2.51551047460943,-0.851446627911752,0,0,0,-0.494572986532276,0,0,0,0,0,-1.13462217200211,0,1.26553587274771,0,-1.05453359940577,-0.784525849771246,0,0,0,-1.24648361683789,0,0,-0.936622030974,0,-1.40654425143498,0,3.17341955170485,0,-0.654537495215484,0,-1.26853393792566,0,0,0,-1.63100554042822,0,0,0.175674825508803,0,-0.334497728754229,0,0,-1.59453460958627,0.795572424645663,-1.27453928774645,-0.414417490377645,0,-1.33631038661358,1.4998992,0,2.32538636030339,0,0,-1.08858851833222,3.8853690435512,-1.08662910684864,0,-1.34530686243922,-0.672904916376361,-1.10452703680701,0.00466076028447304,0,-0.535425017634887,0,0.694692649615517,0,0.585507858620357,0,0,-1.33452339254826,-1.16765074003331,0.351398605634071,-1.29452669044365,0,-0.366394227363818,-0.580953375485505,0,0,0,0,0,0,0,0,-0.417562700000001,1.6434394,-1.7853932,0,0,-1.61735013480824,0,0,-2.56854456444509,0,0,0,0,0,0,0,0,0,0,0,-1.66455345093835,0,0,0,0,0,0,0,0,0,0,0,0.289050298656521,3.3911505,0,0,0,0.123555135968276,0,-1.19456868806708,0.404441125635322
13,1,116,0.86058,0,1.166492,-0.234500375941243,0.917489028728053,-0.232495453825532,0,0,0,0,0,0,0,0,0,0,0,0,0.205435334464015,1.07544200824761,0.375203612742599,0.967540118303626,0,0,0,0,0,0,0.285372550299204,-0.214607660543916,0,1.2074638799106,0,-0.202582331284384,1.32552719023197,0.615734726335591,0,-0.562443359383591,0.217460285278735,-0.221080889642348,0,-0.992530015970388,-0.494532182267067,0,-0.462512203134061,0,0.177932339096792,0.48741400397717,0,0,0.987504624982311,0,0.557522064374115,0.349017821003914,1.87751473651716,1.10748982306954,0,2.18553027847723,1.61907158318326,0,0.482533465710112,0,0.616639422516405,0,0.467479166498631,0,1.88541075268975,1.4654640470925,0,0,2.22746676330989,0.366634106405805,0,0,0,0,0,-0.502592975036176,0,2.90762902797678,0,-0.453420315901623,0,1.8354472352192,0,2.10106836566495,1.71764043749184,0,0,2.43755444083844,0,0,0,0.767449185501517,0,-0.452265445881711,1.0377458081197,2.11911809304812,1.09098910828581,0,0,0,0,0,0,0,0,-0.292513398333613,0,0,0.885542495902,0,0,0,0,0,0,0,-0.872546875263513,1.87106689157927,0,0,0,0,-0.342541298543983,0,2.60539786504998,0,1.16930253475201,0,0.167485774873441,0,0,1.10743703388134,0,0,0,0,0,-0.5949522,0,0.8555019,0,0,2.8311585,0,0,0,0,0,0,1.6315678,0,0,0,0,0,0,0,1.9426748,0,0,0,0,0,1.2054124,0,0,0,0,1.7079259,0,0,0,0.241087870864234,0,0,0,0.625462407994288,0,0,-0.372536160683515,0.896738083738649
16,1,86,0.86072,0,0.611909099999998,0.861408394509915,-1.09655880125151,-1.41652302417392,0,0,-0.677320970146875,-1.78771300472434,0,0,-1.66573807582432,0,-1.74656495759805,0,0,0,0,0,0,0,0,0,-0.0673587749876461,0,0,-0.496547188903733,0,0,2.25809054032948,-1.47854824224364,0,-2.13666617856575,-1.50848899078096,0,0,-0.276544461179054,0,0,0,0.0834898993528235,0,0,-2.10654201713022,0,-0.356442846002714,0.0807173745989083,-1.15654840611421,0.231388190548536,0,0,-1.80668659624789,0,1.47643709474119,-1.35838650152814,-1.28494094834318,-1.92864480918393,0,0,0,2.33250573879097,0,-0.290503801188457,0,-1.6965282065496,0,1.29518242184979,0,0,0,2.64150346867051,-0.126527513420331,0,0,-1.42652788951835,0,0,-0.304915174250468,0,0.723433880900931,0,0,0,0,-0.594940207540198,-0.536518621120511,0,0,0,0,0,-1.86295831187053,0,0,0,0,0,0,0,0,0,0,0.361667433280765,0.481617638530143,0,-1.2549819,0,0,-0.0474600657437918,0,-2.11062914089871,0,0,-1.13659856399547,-1.97649712841424,0,0,0,3.30272290581608,-2.06855802061045,0,0,0,-1.91390407973667,0,0,-0.646486979290785,-1.16548092342425,-1.6165249124855,-0.978530644148927,-1.7565457933742,-0.876482583321785,-0.586560187096392,0,0,0,0,0,0,0,0,0,3.3079569,-0.948784400000001,0,0,0,1.57164133821287,0,-2.22653455263241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9583509,-0.610498900000001,0,0,0.5914024,-1.3122569,0,0,0.393483710644137,0.172405699999999,0,-0.299660299999999,0,-1.07573442960491,-0.516637027835991,-2.26856330007758,0.373004565663435
17,1,82,0.64902,1,2.2198732,0,0,0,0,0,0,0,0,0,-2.19586166431048,-0.432563941232841,0,0,0,-0.618784862591001,0,-2.21041702447852,0,-0.618522941766958,0,0,0,-0.499499574898985,-1.0105804907522,0,0,0.521485640238057,0,0,0,0,0,0,0,0,0,0,0,-1.03049896390458,-1.12572535506119,0,0,0,0,-1.28846613833276,0,0,0,0,0,0,0,0,0.963186820688538,-0.798536776621345,0,0,-2.17947637162483,0,0,0,-0.970753473594522,0,0,0,0,0,-0.369478191847799,0,0,0,0,0,0,0.765403432777763,0,0,0,-1.79538774170888,0,0,0,0,0.881402861471182,0,-1.45854585770181,0,0,0,0,0,0,0,0,0,0,0,-2.25251286420723,0,0,0,0,1.88957707337227,0.4269762,-1.2687537507635,2.44150832976483,0,0,0,0,0,-1.01692387064227,1.72962675544355,0,0.841425683151867,0,0,-0.448586564929379,0,0.721430599092669,0,2.70151584372656,0,0,0,-0.899487474506067,0.711394854279375,0,0,-1.10931653809011,0,0,0,0,0,0,0,0,0,0,0,-1.2103377,0,0,0,-0.978524103801981,0,-0.448574822791501,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4872636,0,0,0,0,0,0,0,0,0,0,-1.1582487,0,0,0,0,0,0,0.507551772350167
18,1,126,0.86072,0,-1.9803401,0,0,0,0,0,3.02247195048224,2.71881860023802,0,0,0,0,2.75148224419606,0,3.73190603531778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00058628015478,0,0,3.03243271979082,2.39249759310275,0,0,0,0,0,0,0,0,0,3.25044428182382,0,0,0,2.4617484978481,0,0,3.62250914334154,0,2.56051031915845,3.60573917863826,0,0,0,0,0,0,0,0,0,2.37248723028889,0,0,0,0,2.74725983075884,0,1.62243626876594,0,2.10368219235537,-2.08593816909422,0,0,0,0,0,0,0,0,0,0,0,-0.168065661183658,0,0,0,0,2.23263683220532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95048750567357,0.0260787409196013,-0.253944275224487,1.6105386537067,0,0,0,0,0,0,1.75174638964852,0,0,0,0,0,0,0,0,2.010249,0,0,0,0,0,0,0,2.6217359,0,0,0,0,-2.47752922189576,-0.308778199999999,0,0,0,0,3.5909006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460048,0,0,0,0,2.10488496736824
